,google_hits0,google_hits1,google_hits2,google_hits3,google_hits4,google_hits5,google_hits6,google_hits7,google_hits8,google_hits9,google_hits10,google_hits11,google_hits12,google_hits13,google_hits14,google_hits15,google_hits16,google_hits17,google_hits18,google_hits19,google_hits20,google_hits21,google_hits22,google_hits23,google_hits24,google_hits25,google_hits26,google_hits27,google_hits28,google_hits29,google_hits30,google_hits31,google_hits32,google_hits33,google_hits34,google_hits35,google_hits36,google_hits37,google_hits38,google_hits39,google_hits40,google_hits41,google_hits42,google_hits43,google_hits44,google_hits45,google_hits46,google_hits47,google_hits48,google_hits49,google_hits50,google_hits51,google_hits52,google_hits53,google_hits54,google_hits55,google_hits56,google_hits57,google_hits58,google_hits59,google_hits60,google_hits61,google_hits62,google_hits63,google_hits64,google_hits65,google_hits66,google_hits67,Dates
3925,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/24/06
3926,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/25/06
3927,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/28/06
3928,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/29/06
3929,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/30/06
3930,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/31/06
3931,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/1/06
3932,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/5/06
3933,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/6/06
3934,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/7/06
3935,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/8/06
3936,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/11/06
3937,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/12/06
3938,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/13/06
3939,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/14/06
3940,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/15/06
3941,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/18/06
3942,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/19/06
3943,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/20/06
3944,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/21/06
3945,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/22/06
3946,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/25/06
3947,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/26/06
3948,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/27/06
3949,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/28/06
3950,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/29/06
3951,0.0,6.0,37.0,4.0,75.0,18.0,10.0,82.0,6.0,46.0,6.0,83.0,5.0,11.0,5.0,74.0,20.0,63.0,16.0,21.0,17.0,53.0,23.0,4.0,5.0,7.0,68.0,44.0,16.0,60.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/2/06
3952,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/3/06
3953,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/4/06
3954,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/5/06
3955,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/6/06
3956,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/9/06
3957,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/10/06
3958,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/11/06
3959,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/12/06
3960,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/13/06
3961,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/16/06
3962,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/17/06
3963,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/18/06
3964,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/19/06
3965,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/20/06
3966,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/23/06
3967,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/24/06
3968,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/25/06
3969,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/26/06
3970,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/27/06
3971,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/30/06
3972,0.0,6.0,38.0,5.0,77.0,19.0,11.0,78.0,7.0,44.0,6.0,80.0,5.0,11.0,5.0,74.0,21.0,70.0,18.0,21.0,19.0,54.0,26.0,5.0,5.0,8.0,67.0,44.0,15.0,63.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/31/06
